,nu,tauv,ratio,g,N,gamma,gSteady
319,120.0,60.0,2.0,10.0,1000.0,6.31352691609839,5.879385475655906
320,120.0,60.0,3.0,10.0,1000.0,7.952193258429283,7.138212378871516
321,120.0,90.0,0.2,10.0,1000.0,3.866258319756189,3.908185320000356
322,120.0,90.0,0.5,10.0,1000.0,4.761708116628835,4.751533861147782
323,120.0,90.0,1.0,10.0,1000.0,7.046057225528746,7.045031891421296
324,120.0,90.0,2.0,10.0,1000.0,11.092956218997344,10.919825167333583
325,120.0,90.0,3.0,10.0,1000.0,12.418229141817605,12.852409459494208
326,130.0,15.0,0.2,10.0,1000.0,3.706969406535831,3.6837147187653887
327,130.0,15.0,0.5,10.0,1000.0,3.975586519689965,3.9766857777899385
328,130.0,15.0,1.0,10.0,1000.0,4.424299057187751,4.470980445756125
329,130.0,15.0,2.0,10.0,1000.0,5.1139694616921325,5.022726003459055
330,130.0,15.0,3.0,10.0,1000.0,5.4914132756807374,5.332666586544549
331,130.0,30.0,0.2,10.0,1000.0,2.9710603196470915,2.954137361697411
332,130.0,30.0,0.5,10.0,1000.0,3.4478968335482456,3.4167421084257024
333,130.0,30.0,1.0,10.0,1000.0,4.08659026185808,4.131144656608493
334,130.0,30.0,2.0,10.0,1000.0,4.572437934981185,4.619757100083923
335,130.0,30.0,3.0,10.0,1000.0,5.078117046732879,5.0803857216096056
336,130.0,45.0,0.2,10.0,1000.0,2.5940565682091994,2.6172688717425387
337,130.0,45.0,0.5,10.0,1000.0,3.097600527183108,3.103673683602838
338,130.0,45.0,1.0,10.0,1000.0,3.9029845765334894,3.897144781258446
339,130.0,45.0,2.0,10.0,1000.0,4.576000323942748,4.894078666589123
340,130.0,45.0,3.0,10.0,1000.0,4.961772048264413,4.945389606276678
341,130.0,60.0,0.2,10.0,1000.0,2.7013063976297986,2.6890706922849943
342,130.0,60.0,0.5,10.0,1000.0,3.3373641049193394,3.3895844032660243
343,130.0,60.0,1.0,10.0,1000.0,4.108773044755524,4.1944910254738685
344,130.0,60.0,2.0,10.0,1000.0,5.2879298416019145,5.286698685748112
345,130.0,60.0,3.0,10.0,1000.0,7.5458421520427565,6.641182918796145
346,130.0,90.0,0.2,10.0,1000.0,3.7632161957715713,3.7603562685831866
347,130.0,90.0,0.5,10.0,1000.0,4.436389956122095,4.422139348407665
348,130.0,90.0,1.0,10.0,1000.0,6.156865578901353,6.156702064596418
349,130.0,90.0,2.0,10.0,1000.0,9.757736160445896,9.758533150726798
350,130.0,90.0,3.0,10.0,1000.0,12.11270797823797,12.238767388929844
